-------------START AVALIABLE PAYLOADS------------

Framework Payloads (1706 total) [--payload <value>]
===================================================

    Name                                                               Description
    windows/shell/bind_nonx_tcp                                        Spawn a piped command shell (staged). Listen for a connection (No NX)
    windows/shell/bind_tcp                                             Spawn a piped command shell (staged). Listen for a connection (Windows x86)
    windows/shell/bind_tcp_rc4                                         Spawn a piped command shell (staged). Listen for a connection
    windows/shell/bind_tcp_uuid                                        Spawn a piped command shell (staged). Listen for a connection with UUID Support (Windows x86)
    windows/shell/find_tag                                             Spawn a piped command shell (staged). Use an established connection
    windows/shell/reverse_ipv6_tcp                                     Spawn a piped command shell (staged). Connect back to the attacker over IPv6
    windows/shell/reverse_nonx_tcp                                     Spawn a piped command shell (staged). Connect back to the attacker (No NX)
    windows/shell/reverse_ord_tcp                                      Spawn a piped command shell (staged). Connect back to the attacker
    windows/shell/reverse_tcp                                          Spawn a piped command shell (staged). Connect back to the attacker
    windows/shell/reverse_tcp_allports                                 Spawn a piped command shell (staged). Try to connect back to the attacker, on all possible ports (1-65535, slowly)
    windows/shell/reverse_tcp_dns                                      Spawn a piped command shell (staged). Connect back to the attacker
    windows/shell/reverse_tcp_rc4                                      Spawn a piped command shell (staged). Connect back to the attacker
    windows/shell/reverse_tcp_rc4_dns                                  Spawn a piped command shell (staged). Connect back to the attacker
    windows/shell/reverse_tcp_uuid                                     Spawn a piped command shell (staged). Connect back to the attacker with UUID Support
    windows/shell/reverse_udp                                          Spawn a piped command shell (staged). Connect back to the attacker with UUID Support
    windows/shell_bind_tcp                                             Listen for a connection and spawn a command shell
    windows/shell_bind_tcp_xpfw                                        Disable the Windows ICF, then listen for a connection and spawn a command shell
    windows/shell_hidden_bind_tcp                                      Listen for a connection from certain IP and spawn a command shell. The shellcode will reply with a RST packet if the connections is not coming from the IP defined in AHOST. This way the port will appear as "closed" helping us to hide the shellcode.
    windows/shell_reverse_tcp                                          Connect back to attacker and spawn a command shell
